Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
1 3 9 17,5,0 400 498 603 996 1101,0 400 500 600 1000 1100,5.477
1 3 9 19,2,0 201 404 498 903 996,0 200 400 500 900 1000,6.782
1 3 17 19,2,0 299 404 597 903 1095,0 300 400 600 900 1100,7.746
1 9 17 19,1,0 94 105 199 298 1102,0 100 100 200 300 1100,8.367
3 9 17 19,4,0 94 604 697 796 1102,0 100 600 700 800 1100,9.0
1 5 15 19,3,0 298 702 1000 1088 1111,0 300 700 1000 1100 1100,16.523
1 3 15 19,1,0 293 405 702 791 1089,0 300 400 700 800 1100,16.733
1 9 15 19,0,0 93 111 205 409 996,0 100 100 200 400 1000,17.088
1 15 17 19,5,0 112 192 304 409 1095,0 100 200 300 400 1100,18.166
3 5 15 19,0,0 88 404 498 813 902,0 100 400 500 800 900,18.358
3 9 15 19,0,0 93 409 498 813 907,0 100 400 500 800 900,18.762
3 15 17 19,4,0 194 387 603 791 1008,0 200 400 600 800 1000,18.947
1 3 5 15,5,0 0 387 498 702 814,0 0 400 500 700 800,19.313
1 3 9 15,3,0 204 387 591 702 1089,0 200 400 600 700 1100,19.774
1 3 15 17,2,0 105 387 492 604 1089,0 100 400 500 600 1100,19.875
1 5 9 19,4,0 93 814 907 996 1111,0 100 800 900 1000 1100,20.761
9 15 17 19,5,0 99 192 315 409 508,0 100 200 300 400 500,20.857
1 3 5 19,5,0 410 498 796 814 1111,0 400 500 800 800 1100,20.905
1 5 17 19,4,0 192 814 1006 1095 1111,0 200 800 1000 1100 1100,21.024
1 5 9 15,5,0 204 315 386 498 702,0 200 300 400 500 700,21.095
5 9 15 19,4,0 93 702 795 884 1111,0 100 700 800 900 1100,21.331
1 9 15 17,5,0 99 111 210 315 1095,0 100 100 200 300 1100,21.726
5 15 17 19,0,0 88 216 305 498 1007,0 100 200 300 500 1000,21.863
3 5 9 15,3,0 0 315 498 702 884,0 0 300 500 700 900,22.113
3 5 17 19,4,0 89 604 692 885 1008,0 100 600 700 900 1000,22.136
1 5 15 17,4,0 105 217 386 498 603,0 100 200 400 500 600,22.869
3 5 15 17,1,0 99 316 597 702 984,0 100 300 600 700 1000,22.935
